1	0.245518	3.193978	4.295766
2	0.265985	3.147059	4.368011
3	0.287461	3.166023	4.334864
4	0.231289	3.115396	4.210704
5	0.230105	3.153413	4.367873
6	0.290383	3.146428	4.338922
7	0.290444	3.066936	4.343623
8	0.218714	3.041804	4.232505
9	0.279242	3.133770	4.249108
10	0.266374	3.169008	4.336633
11	0.283888	3.113706	4.403451
12	0.274998	3.058927	4.264738
13	0.287156	3.129450	4.258178
14	0.261627	3.080176	4.392035
15	0.220925	3.190272	4.395965
16	0.215909	3.086520	4.289062
17	0.216465	3.167278	4.348709
18	0.260872	3.191652	4.334927
19	0.268663	3.158060	4.341521
20	0.238255	3.105189	4.390602
21	0.204439	3.114178	4.223816
22	0.232824	3.134950	4.406113
23	0.263802	3.113841	4.330992
24	0.248907	3.182326	4.369724
25	0.290928	3.146256	4.258536
26	0.240486	3.152511	4.297853
27	0.249416	3.164093	4.346452
28	0.261801	3.161216	4.345489
29	0.214064	3.156369	4.314762
30	0.247482	3.151035	4.283773
31	0.242043	3.127596	4.297104
32	0.278060	3.106499	4.315707
33	0.268153	3.075445	4.320822
34	0.256024	3.170905	4.355191
35	0.257549	3.095283	4.268088
36	0.192190	3.133977	4.271645
37	0.246173	3.157274	4.283608
38	0.222526	3.169550	4.308132
39	0.260815	3.107764	4.298518
40	0.245989	3.085220	4.262811
41	0.211190	3.185684	4.346247
42	0.246616	3.146645	4.280214
43	0.285514	3.065172	4.424154
44	0.242452	3.160805	4.384642
45	0.259804	3.158188	4.322263
46	0.231793	3.191106	4.285526
47	0.252876	3.152958	4.289408
48	0.244544	3.201710	4.368725
49	0.256928	3.151084	4.339745
50	0.249755	3.095929	4.234563
51	0.220890	3.173305	4.287227
52	0.248965	3.097439	4.290007
53	0.249047	3.079310	4.333570
54	0.241396	3.134512	4.287466
55	0.226535	3.164090	4.292733
56	0.244227	3.130983	4.356035
57	0.246524	3.137897	4.292848
58	0.263284	3.139027	4.278422
59	0.276539	3.004366	4.247182
60	0.226576	3.125982	4.289316
61	0.239198	3.120920	4.360346
62	0.240135	3.120158	4.281609
63	0.256755	3.066490	4.226534
64	0.207927	3.144836	4.273342
65	0.234707	3.088673	4.232609
66	0.223415	3.136716	4.371230
67	0.253296	3.133615	4.322289
68	0.207310	3.208629	4.314417
69	0.229920	3.107691	4.350463
70	0.248958	3.130823	4.314454
71	0.247155	3.117547	4.339931
72	0.250105	3.075452	4.291043
73	0.242171	3.196874	4.329376
74	0.253386	3.126190	4.334429
75	0.260536	3.180636	4.339060
76	0.291663	3.093219	4.299747
77	0.185815	3.131912	4.222381
78	0.275528	3.162353	4.277561
79	0.250111	3.113562	4.237355
80	0.229158	3.133549	4.303556
81	0.257397	3.120966	4.283111
82	0.230846	3.141088	4.333502
83	0.258584	3.122031	4.297513
84	0.256437	3.099136	4.255179
85	0.238363	3.183148	4.294445
86	0.255612	3.167767	4.348007
87	0.302922	3.082289	4.213628
88	0.245716	3.130413	4.287884
89	0.246200	3.176893	4.331005
90	0.259557	3.136005	4.345440
91	0.261717	3.122628	4.328547
92	0.243230	3.137714	4.297578
93	0.247568	3.106809	4.352964
94	0.249562	3.103140	4.328692
95	0.239228	3.158726	4.412135
96	0.281631	3.087770	4.301978
97	0.249876	3.187148	4.314460
98	0.251164	3.172520	4.345377
99	0.236655	3.122711	4.313298
100	0.275240	3.104215	4.244051
101	0.239885	3.133317	4.262298
102	0.241161	3.183253	4.331478
103	0.277427	3.163402	4.363790
104	0.213491	3.158313	4.384298
105	0.201298	3.267269	4.337722
106	0.255473	3.153296	4.307387
107	0.273976	3.119064	4.293678
108	0.271939	3.153840	4.359584
109	0.222483	3.072914	4.261781
110	0.222596	3.232475	4.315449
111	0.226606	3.040358	4.262937
112	0.239245	3.112299	4.310963
113	0.299573	3.059507	4.268639
114	0.237253	3.208282	4.299809
115	0.271791	3.106173	4.258702
116	0.256454	3.177376	4.304720
117	0.287476	3.095418	4.281767
118	0.224063	3.130183	4.285919
119	0.217085	3.156372	4.325517
120	0.235703	3.104777	4.338796
121	0.262208	3.135600	4.274580
122	0.231545	3.123859	4.290695
123	0.293870	3.098482	4.324914
124	0.238451	3.126620	4.289636
125	0.236834	3.118581	4.304505
126	0.244438	3.110351	4.318249
127	0.228953	3.132129	4.249380
128	0.233758	3.170351	4.319679
129	0.259904	3.086100	4.256177
130	0.187166	3.215005	4.299233
131	0.209295	3.193263	4.305438
132	0.237064	3.111980	4.367533
133	0.266826	3.091037	4.280833
134	0.237050	3.183000	4.312863
135	0.229053	3.150363	4.345378
136	0.303862	3.136559	4.338126
137	0.281444	3.139512	4.343816
138	0.238927	3.173283	4.355632
139	0.213405	3.141455	4.383793
140	0.200008	3.146320	4.378632
141	0.242852	3.149488	4.297374
142	0.237924	3.158451	4.337680
143	0.283071	3.107625	4.329784
144	0.231124	3.136608	4.273712
145	0.247885	3.128178	4.281266
146	0.246406	3.075868	4.325919
147	0.210197	3.177471	4.303503
148	0.272755	3.165790	4.313807
149	0.281280	3.158428	4.312043
150	0.288739	3.147606	4.269772
151	0.248893	3.139812	4.351876
152	0.244290	3.149432	4.293542
153	0.208347	3.182560	4.319861
154	0.249844	3.143231	4.371929
155	0.259853	3.104076	4.285700
156	0.216511	3.141721	4.335151
157	0.263764	3.103113	4.379977
158	0.232199	3.135641	4.236338
159	0.238181	3.075416	4.376237
160	0.237689	3.136742	4.324915
161	0.266894	3.142864	4.265933
162	0.229871	3.178292	4.409458
163	0.265646	3.159684	4.254883
164	0.241975	3.099271	4.413654
165	0.212725	3.172967	4.316703
166	0.251075	3.110220	4.298557
167	0.266386	3.112713	4.346941
168	0.277668	3.109178	4.356567
169	0.258548	3.142307	4.249524
170	0.234524	3.129359	4.285351
171	0.177240	3.166886	4.277042
172	0.277036	3.162502	4.314104
173	0.186492	3.153206	4.217940
174	0.184314	3.133672	4.244191
175	0.229409	3.119903	4.248865
176	0.222556	3.194224	4.265449
177	0.250306	3.214443	4.377103
178	0.241860	3.134488	4.351691
179	0.307321	3.008369	4.198583
180	0.240824	3.139979	4.278110
181	0.236047	3.130115	4.369112
182	0.207350	3.031958	4.209494
183	0.251714	3.167463	4.345178
184	0.235642	3.109643	4.346199
185	0.213542	3.131808	4.282223
186	0.228943	3.097726	4.247029
187	0.270447	3.118444	4.395437
188	0.301143	3.199908	4.323464
189	0.228627	3.095008	4.335193
190	0.234036	3.197747	4.292853
191	0.240623	3.167464	4.308311
192	0.237490	3.034896	4.216929
193	0.242722	3.074007	4.308427
194	0.272408	3.104496	4.350637
195	0.243929	3.162953	4.252333
196	0.204523	3.154470	4.354237
197	0.262327	3.173739	4.293139
198	0.195325	3.074791	4.208281
199	0.237410	3.085785	4.233875
200	0.208478	3.191917	4.372807
201	0.248693	3.106198	4.286797
202	0.276017	3.136219	4.352957
203	0.254338	3.103939	4.356889
204	0.233476	3.086314	4.333588
205	0.258758	3.133094	4.315829
206	0.257505	3.080225	4.228074
207	0.248402	3.132835	4.219876
208	0.272486	3.135052	4.267168
209	0.245283	3.132811	4.384075
210	0.230705	3.164611	4.329957
211	0.240990	3.139424	4.300720
